"Latest: Time (s)","Latest: Force (N)","Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)"
0,1.93816523999,0,3.23027539998,0,2.15351693332
0.1,6.04330689413,0.1,6.68936197413,0.1,16.6224588291
0.2,13.8094273349,0.2,11.4405587083,0.2,52.0208934206
0.3,27.6323141507,0.3,20.0680859224,0.3,102.547784469
0.4,41.8724448723,0.4,34.1063244315,0.4,161.04268817
0.5,65.1977251563,0.5,57.2027935414,0.5,206.387679097
0.6,99.7347529745,0.6,89.3709527329,0.6,233.804641555
0.7,132.118263859,0.7,121.754463618,0.7,251.50385885
0.8,147.233260835,0.8,148.956074382,0.8,264.021176025
0.9,156.076139743,0.9,165.578533211,0.9,272.446811027
1,177.665146999,1,174.434871599,1,277.628711148
1.1,186.306133694,1.1,172.052543492,1.1,274.384976267
1.2,176.373036839,1.2,168.822268092,1.2,270.72399748
1.3,178.540013253,1.3,168.176213012,1.3,270.72399748
1.4,179.186068333,1.4,169.252971478,1.4,266.188152439
1.5,174.219519906,1.5,173.573464826,1.5,258.623924211
1.6,163.209664584,1.6,185.660078614,1.6,262.513714172
1.7,115.065101644,1.7,193.426199055,1.7,272.01610764
1.8,69.2894073296,1.8,197.962044096,1.8,279.136173001
1.9,29.5704793907,1.9,199.913668816,1.9,279.997579774
2,5.39725181414,2,199.038802562,2,280.657094335
2.1,1.29211015999,2.1,197.962044096,2.1,279.136173001
2.2,0.215351693332,2.2,208.541196031,2.2,241.570761995
2.3,0.215351693332,2.3,175.080926679,2.3,115.065101644
2.4,0.215351693332,2.4,60.8772318088,2.4,41.6570931789
2.5,0.215351693332,2.5,12.5173171749,2.5,8.62752721412
2.6,0.430703386664,2.6,3.66097878665,2.6,1.07675846666
,,2.7,2.36886862665,2.7,0.646055079997
,,2.8,2.15351693332,2.8,0.215351693332
,,2.9,1.93816523999,2.9,0.215351693332
,,3,1.50746185333,3,0.430703386664
,,3.1,0.861406773329,3.1,0.430703386664
,,3.2,0.215351693332,,
,,3.3,0,,
,,3.4,0.215351693332,,
